Pickup
GOTARMOR,Picked up the armor.
HUSTR_28,The Spirit World
HUSTR_29,The Living End
HUSTR_30,Icon of Sin
HUSTR_31,Wolfenstein
HUSTR_32,Grosse
HUSTR_31B,IDKFA
HUSTR_32B,Keen
HUSTR_33,Betray
Plutonia
PHUSTR_1,Congo
PHUSTR_2,Well of Souls
PHUSTR_3,Aztec
PHUSTR_4,Caged
PHUSTR_5,Ghost Town
PHUSTR_6,Baron's Lair
PHUSTR_7,Caughtyard
PHUSTR_8,Realm
PHUSTR_9,Abattoire
PHUSTR_10,Onslaught
PHUSTR_11,Hunted
PHUSTR_12,Speed
PHUSTR_13,The Crypt
PHUSTR_14,Genesis
PHUSTR_15,The Twilight
PHUSTR_16,The Omen
PHUSTR_17,Compound
PHUSTR_18,Neurosphere
PHUSTR_19,LNME
PHUSTR_20,The Death Domain
PHUSTR_21,Slayer
PHUSTR_22,Impossible Mission
PHUSTR_23,Tombstone
PHUSTR_24,The Final Frontier
PHUSTR_25,The Temple of Darkness
PHUSTR_26,Bunker
PHUSTR_27,Anti-christ
PHUSTR_28,The Sewers
PHUSTR_29,Odyssey of Noises
PHUSTR_30,The Gateway of Hell
PHUSTR_31,Cyberden
PHUSTR_32,Go 2 It
TNT: Evilution
THUSTR_1,System Control
THUSTR_2,Human BBQ
THUSTR_3,Power Control
THUSTR_4,Wormhole
THUSTR_5,Hanger
THUSTR_6,Open Season
THUSTR_7,Prison
THUSTR_8,Metal
THUSTR_9,Stronghold
THUSTR_10,Redemption
THUSTR_11,Storage Facility
THUSTR_12,Crater
THUSTR_13,Nukage Processing
THUSTR_14,Steel Works
THUSTR_15,Dead Zone
THUSTR_16,Deepest Reaches
THUSTR_17,Processing Area
THUSTR_18,Mill
THUSTR_19,Shipping/respawning
THUSTR_20,Central Processing
THUSTR_21,Administration Center
THUSTR_22,Habitat
THUSTR_23,Lunar Mining Project
THUSTR_24,Quarry
THUSTR_25,Baron's Den
THUSTR_26,Ballistyx
THUSTR_27,Mount Pain
THUSTR_28,Heck
THUSTR_29,River Styx
THUSTR_30,Last Call
THUSTR_31,Pharaoh
THUSTR_32,Caribbean
